name,schema,kind,charset,collation,engine,estimated_row,total_size,data_size,index_size,comment
3wadmin_emailadressen,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
3wadmin_extranet_schutz,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
3wadmin_extranet_user,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"3,575",518 KB,319 KB,198 KB,
3wadmin_footernav,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
3wadmin_footernav_links,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
3wadmin_footernav_spalte,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
3wadmin_history,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"3,840",994 KB,953 KB,40 KB,
3wadmin_login_log,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"4,736",206 KB,156 KB,50 KB,
3wadmin_mpool_filme,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,11,3 KB,1 KB,2 KB,
3wadmin_nav_log,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,11,2 KB,238 b,2 KB,
3wadmin_nav_slideshow,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
3wadmin_seofootergruppe,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
3wadmin_seofooterlinks,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
3wadmin_shop_countries,vodtapes,TABLE,utf8mb3,utf8mb3_general_ci,MyISAM,253,55 KB,17 KB,37 KB,
3wadmin_sound_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,8,2 KB,524 b,2 KB,
3wadmin_suchen_doc,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,24,20 KB,18 KB,2 KB,
3wadmin_tapes_band,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"12,453",1 MB,1 MB,152 KB,
3wadmin_tapes_band_lit,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"3,915",491 KB,447 KB,44 KB,
3wadmin_tapes_comment,vodtapes,TABLE,latin1,latin1_swedish_ci,InnoDB,496,114 KB,114 KB,--,
3wadmin_tapes_formate,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,39,5 KB,1 KB,4 KB,
3wadmin_tapes_katalog,vodtapes,TABLE,latin1,latin1_german2_ci,InnoDB,"45,090",5 MB,5 MB,--,
3wadmin_tapes_kategorien,vodtapes,TABLE,utf8mb3,utf8mb3_general_ci,InnoDB,2,16 KB,16 KB,--,
3wadmin_tapes_labels,vodtapes,TABLE,utf8mb3,utf8mb3_general_ci,MyISAM,"3,077",387 KB,352 KB,34 KB,
3wadmin_tapes_labels_lit,vodtapes,TABLE,utf8mb3,utf8mb3_general_ci,MyISAM,"1,129",100 KB,85 KB,14 KB,
3wadmin_tapes_labels_person,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,458,55 KB,48 KB,7 KB,
3wadmin_tapes_pers_verkn,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,368,12 KB,6 KB,6 KB,
3wadmin_tapes_pressorga,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"1,983",236 KB,210 KB,25 KB,
3wadmin_tapes_pressorga_lit,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"6,326",655 KB,587 KB,68 KB,
3wadmin_tapes_releases,vodtapes,TABLE,latin1,latin1_german1_ci,MyISAM,"30,163",93 MB,92 MB,1 MB,
3wadmin_tapes_releases_various,vodtapes,TABLE,latin1,latin1_swedish_ci,InnoDB,"41,753",4 MB,1 MB,3 MB,
3wadmin_tapes_select,vodtapes,TABLE,latin1,latin1_swedish_ci,InnoDB,3,16 KB,16 KB,--,
3wadmin_topnav,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,38,2 KB,646 b,2 KB,
3wadmin_upload_temp,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"1,279",162 KB,141 KB,20 KB,
3wadmin_zusatzmodule_nav,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,4,2 KB,224 b,2 KB,
admin_mail,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
artistsandbands,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"2,859",1 MB,1 MB,1 KB,
bilder_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"74,424",7 MB,4 MB,2 MB,
bilder_besch_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,2,2 KB,80 b,2 KB,
extra_pdf,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,28,3 KB,1 KB,2 KB,
filme,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
formular,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
formular_css,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
formular_css_setup,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,2,2 KB,92 b,2 KB,
formular_done,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
formular_done_optionen,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
formular_element,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
formular_element_typen,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,11,2 KB,252 b,2 KB,
formular_optionen,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
formular_select_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
formular_text_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
gallerie,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
gallerie_order,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
gallery_text,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
inhalt_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,12,38 KB,35 KB,2 KB,
inhalt_temp_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,7,63 KB,61 KB,2 KB,
labels,vodtapes,TABLE,utf8mb3,utf8mb3_general_ci,MyISAM,678,121 KB,120 KB,1 KB,
leiste_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
leiste_2,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
leiste_links_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
leiste_newsletter_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
leiste_text_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
leisten,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,4,2 KB,288 b,2 KB,
links,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
literaturepressorg,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,788,88 KB,87 KB,1 KB,
literaturetoartists,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,312,38 KB,37 KB,1 KB,
literaturetolabels,vodtapes,TABLE,utf8mb3,utf8mb3_general_ci,MyISAM,162,18 KB,17 KB,1 KB,
log,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,292,16 KB,11 KB,5 KB,
maglabelpeople,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,411,47 KB,46 KB,1 KB,
meta_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,1,2 KB,20 b,2 KB,
module,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,6,2 KB,292 b,2 KB,
mpool_bilder,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,"80,185",4 MB,4 MB,850 KB,
mpool_ordner,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,118,7 KB,3 KB,4 KB,
nav_1,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,5,2 KB,504 b,2 KB,
pressorga,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,461,37 KB,36 KB,1 KB,
rechte,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,0,1 KB,--,1 KB,
releases,vodtapes,TABLE,utf8mb3,utf8mb3_general_ci,MyISAM,"2,441",317 KB,316 KB,1 KB,
setup,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,1,2 KB,40 b,2 KB,
sprachen,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,1,2 KB,28 b,2 KB,
suchen,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,2,2 KB,52 b,2 KB,
suchen_text,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,3,2 KB,480 b,2 KB,
user,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,11,3 KB,996 b,2 KB,
zusatzmodule,vodtapes,TABLE,latin1,latin1_swedish_ci,MyISAM,6,2 KB,280 b,2 KB,